epoch,train_loss,val_loss,mse,ssim,epoch_time
1,0.22270424836980446,0.21352578900955818,0.012636255,0.7521461447929166,517.7260603904724
2,0.1891212524580104,0.21008279677983877,0.011348822,0.756485465822577,517.1646070480347
3,0.18031453474291734,0.215560733466535,0.017450362,0.7534824531052661,517.25829911232
4,0.17786353227815457,0.19475891944524404,0.010577222,0.773999830680732,517.5177438259125
5,0.17560557848108665,0.22381221523156036,0.0153898,0.7504765392104422,517.2847929000854
6,0.17197855362402542,0.19644094157863307,0.010262649,0.7760184986402214,517.1996026039124
7,0.17194761083062207,0.1953341614555668,0.011937227,0.7776695514474726,517.1744980812073
8,0.1670002286721553,0.21361493419956518,0.015455932,0.7545236531318388,517.070830821991
9,0.1648417449157153,0.20334897975663882,0.011750864,0.7721760090225326,517.1164927482605
10,0.1620947058711733,0.18174468584962794,0.009695583,0.7904308120860624,517.0720043182373
11,0.16021433605679444,0.18748784790167938,0.0103259655,0.7850528034814058,516.8698840141296
12,0.1607995992526412,0.18377553208454236,0.010292753,0.7897272519503646,517.2655754089355
13,0.15811697952449322,0.18049679656286496,0.008962627,0.7909212443217445,516.9888453483582
14,0.1571354851392763,0.18646946710509224,0.009408914,0.7847259629085788,517.0107080936432
15,0.15627172895308053,0.18277828435640078,0.010821736,0.7891330854761055,517.110698223114
16,0.15476898489786045,0.18415668687304934,0.010700459,0.788640789132838,517.0244286060333
17,0.15290683960275991,0.2314470225089305,0.022080189,0.739286751382468,517.1417880058289
18,0.15194879738347872,0.1879473795761933,0.014794954,0.7832255826636181,517.368124961853
19,0.15142581851354667,0.18718028712917018,0.013636068,0.78351822538256,517.3072340488434
20,0.14941466945622647,0.17435550045322729,0.009179924,0.7989561304303395,517.3439528942108
